resolve_biome,esa_code,koppen_pattern,biome_id
# Tropical moist broadleaf: RESOLVE distinguishes these forests from warm savannas.
TROPICAL_MOIST_BROADLEAF_FORESTS,10,AM,bamboo_jungle
TROPICAL_MOIST_BROADLEAF_FORESTS,10,*,jungle
TROPICAL_MOIST_BROADLEAF_FORESTS,20,*,sparse_jungle
TROPICAL_MOIST_BROADLEAF_FORESTS,30,*,plains
TROPICAL_MOIST_BROADLEAF_FORESTS,40,*,plains
TROPICAL_MOIST_BROADLEAF_FORESTS,50,*,plains
TROPICAL_MOIST_BROADLEAF_FORESTS,60,*,stony_peaks
TROPICAL_MOIST_BROADLEAF_FORESTS,90,*,swamp
TROPICAL_MOIST_BROADLEAF_FORESTS,100,*,meadow
# Tropical dry broadleaf forests and woodlands.
TROPICAL_DRY_BROADLEAF_FORESTS,10,BW*,wooded_badlands
TROPICAL_DRY_BROADLEAF_FORESTS,10,BS*,savanna
TROPICAL_DRY_BROADLEAF_FORESTS,10,*,sparse_jungle
TROPICAL_DRY_BROADLEAF_FORESTS,20,*,savanna
TROPICAL_DRY_BROADLEAF_FORESTS,30,*,savanna
TROPICAL_DRY_BROADLEAF_FORESTS,40,A*,savanna
TROPICAL_DRY_BROADLEAF_FORESTS,40,*,plains
TROPICAL_DRY_BROADLEAF_FORESTS,50,A*,savanna
TROPICAL_DRY_BROADLEAF_FORESTS,50,*,plains
TROPICAL_DRY_BROADLEAF_FORESTS,60,BWH,desert
TROPICAL_DRY_BROADLEAF_FORESTS,60,BW*,badlands
TROPICAL_DRY_BROADLEAF_FORESTS,60,B*,badlands
TROPICAL_DRY_BROADLEAF_FORESTS,60,*,windswept_gravelly_hills
TROPICAL_DRY_BROADLEAF_FORESTS,90,*,swamp
TROPICAL_DRY_BROADLEAF_FORESTS,100,*,meadow
# Tropical and subtropical pine-oak regions.
TROPICAL_CONIFEROUS_FORESTS,10,*,windswept_forest
TROPICAL_CONIFEROUS_FORESTS,20,*,windswept_hills
TROPICAL_CONIFEROUS_FORESTS,30,*,meadow
TROPICAL_CONIFEROUS_FORESTS,40,*,plains
TROPICAL_CONIFEROUS_FORESTS,50,*,plains
TROPICAL_CONIFEROUS_FORESTS,60,*,stony_peaks
TROPICAL_CONIFEROUS_FORESTS,90,*,swamp
TROPICAL_CONIFEROUS_FORESTS,100,*,meadow
# Temperate broadleaf and mixed forests.
TEMPERATE_BROADLEAF_MIXED_FORESTS,10,CFA,dark_forest
TEMPERATE_BROADLEAF_MIXED_FORESTS,10,*,forest
TEMPERATE_BROADLEAF_MIXED_FORESTS,20,C*,meadow
TEMPERATE_BROADLEAF_MIXED_FORESTS,20,D*,meadow
TEMPERATE_BROADLEAF_MIXED_FORESTS,20,*,plains
TEMPERATE_BROADLEAF_MIXED_FORESTS,30,D*,meadow
TEMPERATE_BROADLEAF_MIXED_FORESTS,30,*,plains
TEMPERATE_BROADLEAF_MIXED_FORESTS,40,*,plains
TEMPERATE_BROADLEAF_MIXED_FORESTS,50,*,plains
TEMPERATE_BROADLEAF_MIXED_FORESTS,60,B*,badlands
TEMPERATE_BROADLEAF_MIXED_FORESTS,60,*,windswept_gravelly_hills
TEMPERATE_BROADLEAF_MIXED_FORESTS,90,*,swamp
TEMPERATE_BROADLEAF_MIXED_FORESTS,100,*,meadow
# Temperate conifer forests, including the Pacific Northwest.
TEMPERATE_CONIFER_FORESTS,10,CSA,old_growth_pine_taiga
TEMPERATE_CONIFER_FORESTS,10,CSB,old_growth_pine_taiga
TEMPERATE_CONIFER_FORESTS,10,CFA,old_growth_spruce_taiga
TEMPERATE_CONIFER_FORESTS,10,CFB,old_growth_spruce_taiga
TEMPERATE_CONIFER_FORESTS,10,CFC,old_growth_spruce_taiga
TEMPERATE_CONIFER_FORESTS,10,DFC,snowy_taiga
TEMPERATE_CONIFER_FORESTS,10,DFD,snowy_taiga
