eco_id,eco_name,biome_num,biome_name,realm,license
0,Rock and Ice,11,N/A,N/A,CC-BY 4.0
1,Albertine Rift montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
2,Cameroon Highlands forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
3,Central Congolian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
4,Comoros forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
5,Congolian coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
6,Cross-Niger transition forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
7,Cross-Sanaga-Bioko coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
8,East African montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
9,Eastern Arc forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
10,Eastern Congolian swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
11,Eastern Guinean forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
12,Ethiopian montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
13,Granitic Seychelles forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
14,Guinean montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
15,Knysna-Amatole montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
16,Kwazulu Natal-Cape coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
17,Madagascar humid forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
18,Madagascar subhumid forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
